sentnum,word,word_position,word_length
1.0,In,1,2
1.0,ancient,2,7
1.0,Roman,3,5
1.0,religion,4,8
1.0,and,5,3
1.0,"myth,",6,5
1.0,Janus,7,5
1.0,is,8,2
1.0,the,9,3
1.0,god,10,3
1.0,of,11,2
1.0,beginnings,12,10
1.0,and,13,3
1.0,gates.,14,6
1.0,He,1,2
1.0,has,2,3
1.0,a,3,1
1.0,double,4,6
1.0,nature,5,6
1.0,and,6,3
1.0,is,7,2
1.0,usually,8,7
1.0,depicted,9,8
1.0,as,10,2
1.0,having,11,6
1.0,two,12,3
1.0,"faces,",13,6
1.0,since,14,5
1.0,he,15,2
1.0,looks,16,5
1.0,to,17,2
1.0,the,18,3
1.0,future,19,6
1.0,and,20,3
1.0,to,21,2
1.0,the,22,3
1.0,past.,23,5
1.0,Janus,1,5
1.0,presided,2,8
1.0,over,3,4
1.0,the,4,3
1.0,beginning,5,9
1.0,and,6,3
1.0,ending,7,6
1.0,of,8,2
1.0,"conflict,",9,9
1.0,and,10,3
1.0,hence,11,5
1.0,war,12,3
1.0,and,13,3
1.0,peace.,14,6
1.0,The,1,3
1.0,doors,2,5
1.0,of,3,2
1.0,his,4,3
1.0,temple,5,6
1.0,were,6,4
1.0,open,7,4
1.0,in,8,2
1.0,times,9,5
1.0,of,10,2
1.0,war,11,3
1.0,and,12,3
1.0,closed,13,6
1.0,during,14,6
1.0,peacetime.,15,10
1.0,As,1,2
1.0,the,2,3
1.0,god,3,3
1.0,of,4,2
1.0,"gates,",5,6
1.0,he,6,2
1.0,was,7,3
1.0,also,8,4
1.0,associated,9,10
1.0,with,10,4
1.0,entering,11,8
1.0,and,12,3
1.0,exiting,13,7
1.0,the,14,3
1.0,doors,15,5
1.0,of,16,2
1.0,homes.,17,6
1.0,Janus,1,5
1.0,frequently,2,10
1.0,symbolized,3,10
1.0,change,4,6
1.0,and,5,3
1.0,"transitions,",6,12
1.0,such,7,4
1.0,as,8,2
1.0,the,9,3
1.0,progress,10,8
1.0,from,11,4
1.0,one,12,3
1.0,condition,13,9
1.0,to,14,2
1.0,"another,",15,8
1.0,from,16,4
1.0,one,17,3
1.0,vision,18,6
1.0,to,19,2
1.0,"another,",20,8
1.0,and,21,3
1.0,the,22,3
1.0,growth,23,6
1.0,of,24,2
1.0,young,25,5
1.0,people,26,6
1.0,into,27,4
1.0,adulthood.,28,10
1.0,"Hence,",1,6
1.0,Janus,2,5
1.0,was,3,3
1.0,worshipped,4,10
1.0,at,5,2
1.0,the,6,3
1.0,beginning,7,9
1.0,of,8,2
1.0,the,9,3
1.0,harvest,10,7
1.0,and,11,3
1.0,planting,12,8
1.0,"times,",13,6
1.0,as,14,2
1.0,well,15,4
1.0,as,16,2
1.0,at,17,2
1.0,"marriages,",18,10
1.0,"deaths,",19,7
1.0,and,20,3
1.0,other,21,5
1.0,beginnings.,22,11
1.0,Janus,1,5
1.0,had,2,3
1.0,no,3,2
1.0,specialized,4,11
1.0,priest,5,6
1.0,assigned,6,8
1.0,to,7,2
1.0,"him,",8,4
1.0,but,9,3
1.0,the,10,3
1.0,high,11,4
1.0,priest,12,6
1.0,himself,13,7
1.0,carried,14,7
1.0,out,15,3
1.0,his,16,3
1.0,ceremonies.,17,11
1.0,Janus,1,5
1.0,represented,2,11
1.0,the,3,3
1.0,middle,4,6
1.0,ground,5,6
1.0,between,6,7
1.0,barbarism,7,9
1.0,and,8,3
1.0,"civilization,",9,13
1.0,rural,10,5
1.0,and,11,3
1.0,urban,12,5
1.0,"space,",13,6
1.0,youth,14,5
1.0,and,15,3
1.0,adulthood.,16,10
1.0,The,1,3
1.0,ancient,2,7
1.0,Greeks,3,6
1.0,had,4,3
1.0,no,5,2
1.0,equivalent,6,10
1.0,to,7,2
1.0,"Janus,",8,6
1.0,whom,9,4
1.0,the,10,3
1.0,Romans,11,6
1.0,claimed,12,7
1.0,as,13,2
1.0,distinctively,14,13
1.0,their,15,5
1.0,own.,16,4
2.0,The,1,3
2.0,shaka,2,5
2.0,"sign,",3,5
2.0,sometimes,4,9
2.0,known,5,5
2.0,as,6,2
2.0,"""hang",7,5
2.0,"loose"",",8,7
2.0,is,9,2
2.0,a,10,1
2.0,gesture,11,7
2.0,of,12,2
2.0,friendly,13,8
2.0,intent,14,6
2.0,often,15,5
2.0,associated,16,10
2.0,with,17,4
2.0,Hawaii,18,6
2.0,and,19,3
2.0,surf,20,4
2.0,culture.,21,8
2.0,The,1,3
2.0,gesture,2,7
2.0,is,3,2
2.0,made,4,4
2.0,by,5,2
2.0,extending,6,9
2.0,the,7,3
2.0,thumb,8,5
2.0,and,9,3
2.0,smallest,10,8
2.0,finger,11,6
2.0,while,12,5
2.0,holding,13,7
2.0,the,14,3
